uai,effectif_segpa,ips,ecart_type_de_l_ips,ep,ratio_filles_garcons,longueur_nom_etablissement,secteur,effectifs
0780116C,0,87.5,27.8,0,1,22,1,776
0751793S,0,87.1,29.4,0,1,23,1,407
0951098C,43,84.1,26.4,0,1,21,1,676
0622420U,49,75.8,24.2,0,0,21,1,447
9760274U,80,77.0,27.0,0,1,19,1,1375
9760180S,0,89.5,33.4,0,0,29,1,1124
0931224A,0,80.2,23.0,0,1,20,1,671
0331753B,0,85.5,33.3,0,0,15,1,414
0590238N,0,78.8,22.9,0,0,22,1,316
9740576H,0,76.3,26.9,0,0,20,1,431
0550024C,0,86.8,32.6,0,1,17,1,436
7200160L,16,92.5,29.4,0,0,37,1,466
0750591K,0,118.2,41.9,0,0,21,1,536
0840762X,0,82.4,28.0,0,0,25,1,519
0910624J,0,88.5,27.7,0,0,21,1,493
0400648M,0,89.9,31.9,0,0,20,1,582
7200624R,0,117.3,36.2,0,0,25,1,472
0570069R,0,81.4,32.3,0,0,21,1,442
0694497N,0,83.7,26.1,0,0,24,1,268
0730904L,67,93.8,35.3,0,1,23,1,704
0030838V,103,84.3,28.2,0,0,24,1,480
0840664R,60,74.4,24.4,0,1,19,1,717
0541471F,0,76.3,23.1,0,0,23,1,485
0594394F,41,77.3,32.3,0,0,19,1,555
0810061B,100,84.5,31.5,0,1,19,1,503
9760162X,0,66.8,18.5,0,1,17,1,1207
0770033T,0,81.3,25.4,0,1,20,1,427
0622576N,54,65.4,15.7,0,1,14,1,415
0931979W,0,84.1,27.1,0,0,24,1,649
0951697D,58,93.0,30.3,0,0,24,1,723
0501300S,0,88.5,28.0,0,1,24,1,141
0921545E,42,84.1,26.1,0,0,21,1,661
0593484S,31,82.3,27.4,0,0,20,1,685
0381604M,0,80.8,29.3,0,0,15,1,329
0951138W,0,86.2,27.2,0,0,29,1,650
0931709C,0,78.5,20.5,0,0,20,1,410
0931612X,62,75.9,19.8,0,1,16,1,585
0950023J,46,69.8,21.9,0,1,20,1,698
0691480J,0,84.1,26.8,0,1,24,1,654
0020090M,66,75.0,25.3,0,0,19,1,662
9741313J,92,70.3,20.3,0,0,23,1,566
0660018L,0,76.8,22.6,0,1,25,1,629
0170077S,0,70.9,19.6,0,1,28,1,493
0511085C,0,87.6,33.6,0,1,22,1,635
0761739C,64,70.1,18.6,0,0,17,1,328
9740065C,0,78.6,28.5,0,1,22,1,549
0570318L,0,79.5,27.4,0,1,19,1,416
0131757P,0,99.6,31.2,0,1,17,1,598
0911036G,64,74.0,19.9,0,1,18,1,601
0311630D,86,74.6,22.3,0,1,16,1,575
0810126X,59,89.9,31.8,0,0,26,1,417
0931860S,0,80.9,28.5,0,0,26,1,539
0941034N,0,84.0,26.1,0,0,22,1,454
9720351Z,62,88.2,31.2,0,0,18,1,257
0572183N,0,91.2,30.9,0,0,26,1,384
0595169Y,0,78.8,22.2,0,0,18,1,317
0754355B,37,97.4,37.1,0,0,23,1,433
0692414Z,42,110.0,37.8,0,0,28,1,661
0781977A,0,75.7,22.8,0,0,18,1,345
9740044E,0,79.9,28.7,0,1,23,1,395
0301208A,0,83.3,27.8,0,0,20,1,567
0131264D,0,75.4,19.5,0,1,18,1,511
0594300D,38,69.4,21.3,0,0,14,1,354
0681127F,76,70.1,20.2,0,1,20,1,714
0941044Z,0,82.3,24.2,0,0,21,1,579
0910049J,0,82.0,26.6,0,0,20,1,959
0931485J,0,78.0,24.8,0,1,22,1,645
0340118U,0,70.9,26.4,0,1,16,1,508
0572355A,65,88.1,30.5,0,0,20,1,466
0751706X,0,111.9,43.9,0,1,21,1,434
0590190L,0,64.6,18.5,0,1,27,1,484
9760042S,0,86.8,32.0,0,1,20,1,966
0753939Z,0,81.1,29.5,0,0,19,1,321
0332082J,0,89.1,32.5,0,1,24,1,477
0622581U,0,83.0,26.2,0,0,22,1,433
0590031N,48,76.9,23.9,0,1,17,1,555
0590002G,59,81.5,25.8,0,1,22,1,824
0881099S,0,94.4,32.5,0,0,29,1,450
0572587C,46,89.6,29.9,0,0,19,1,452
0300062E,0,78.9,24.9,0,1,18,1,552
0601178E,47,79.5,26.0,0,0,22,1,788
0950722U,0,88.7,30.0,0,1,19,1,604
0421684C,0,74.5,26.6,0,1,21,1,316
0171117X,0,103.9,38.3,0,1,25,1,589
0570104D,0,68.3,25.5,0,0,28,1,490
0573269U,0,77.1,26.3,0,0,25,1,815
0382035F,85,97.5,43.7,0,1,21,1,675
9720842H,0,87.8,24.8,0,0,26,1,189
0681757R,0,76.6,24.2,0,1,18,1,334
0940749D,0,75.2,20.9,0,1,21,1,556
9710033J,0,90.8,34.8,0,0,20,1,50
0761782Z,64,69.3,18.8,0,1,21,1,427
0740911N,0,85.6,31.7,0,0,37,1,951
0610057F,51,82.1,28.9,0,0,19,1,412
0311687R,0,112.3,36.5,0,0,17,1,619
0511251H,57,68.2,18.4,0,1,20,1,447
0921179G,0,102.3,31.4,0,0,24,1,296
0921621M,0,85.4,28.3,0,0,18,1,718
0622098U,0,84.1,27.8,0,1,18,1,347
0780577D,0,82.4,24.1,0,0,22,1,376
0920594W,0,92.0,28.1,0,1,18,1,458
0383370G,0,89.4,35.4,0,1,20,1,560
0681284B,0,67.9,19.9,0,0,12,1,460
0594408W,39,73.3,20.7,0,0,16,1,419
0511256N,66,87.0,27.4,0,0,17,1,450
0931188L,0,81.4,23.8,0,0,24,1,715
9741189Z,0,68.3,18.2,0,1,20,1,633
0331419N,0,107.4,35.7,0,1,21,1,620
0131265E,0,77.9,26.5,0,0,19,1,500
0280716B,53,78.4,23.1,0,0,29,1,507
0572166V,52,88.4,31.6,0,0,19,1,660
0931199Y,0,82.2,22.8,0,1,42,1,664
0280924C,0,92.0,32.1,0,0,26,1,385
0860799B,0,80.5,30.7,0,1,19,1,537
0300947S,57,78.8,24.9,0,0,23,1,611
9730182K,0,84.3,30.5,0,1,30,1,905
9730130D,0,80.3,27.6,0,0,21,1,610
0931209J,0,77.0,22.8,0,0,24,1,388
0750550R,0,105.4,41.6,0,0,19,1,384
0762089H,0,87.3,30.4,0,0,22,1,438
0622268D,44,84.3,29.7,0,1,19,1,552
0622434J,0,88.4,29.3,0,1,22,1,459
0932580Z,0,85.1,28.0,0,0,29,1,562
0931005M,0,83.6,28.5,0,0,20,1,537
0762679Z,48,88.9,29.4,0,0,20,1,408
9740703W,0,78.4,26.4,0,1,37,1,641
0931219V,0,94.9,36.7,0,1,29,1,539
0660016J,0,78.7,26.8,0,0,20,1,504
0061211J,65,84.3,27.1,0,0,21,1,885
0932262D,0,79.1,23.7,0,1,21,1,674
0594524X,51,73.1,20.8,0,0,19,1,329
0590183D,0,68.3,20.6,0,1,25,1,392
0931217T,0,96.6,36.4,0,0,38,1,542
0921160L,0,87.2,33.1,0,0,29,1,686
0382174G,115,87.4,30.7,0,0,24,1,841
0631238D,66,86.9,30.4,0,0,25,1,681
0930893R,60,77.4,24.5,0,1,28,1,836
0131884C,0,72.8,19.6,0,0,20,1,596
0540088C,0,77.1,18.8,0,1,22,1,226
0280656L,0,82.4,32.3,0,0,18,1,265
0021518P,0,86.5,28.1,0,0,27,1,401
0020054Y,0,67.7,21.7,0,1,17,1,327
0580012Y,0,103.1,29.4,0,0,20,1,115
0932579Y,0,92.2,33.2,0,0,21,1,533
7200027S,0,99.7,29.5,0,1,15,1,109
0820588U,62,96.7,35.2,0,0,24,1,1182
0801341Y,60,81.0,26.0,0,1,21,1,483
0061174U,0,81.1,24.0,0,0,22,1,509
0670004R,52,82.8,31.1,0,0,15,1,705
0761701L,65,89.1,27.0,0,0,20,1,640
0350895H,62,73.9,26.8,0,1,18,1,513
0060840F,61,83.9,26.7,0,0,24,1,830
0931207G,0,85.9,25.6,0,0,23,1,512
9741045T,0,79.1,26.8,0,1,13,1,504
0752606A,0,88.3,25.0,0,1,22,1,375
0132403S,0,86.1,27.8,0,1,23,1,380
9730193X,48,72.0,20.4,0,0,22,1,581
0141268C,0,82.5,30.4,0,0,30,1,633
0931184G,62,78.9,22.0,0,0,19,1,655
0330140Y,46,74.0,25.2,0,0,18,1,567
0931195U,0,79.0,24.7,0,0,23,1,568
0332189A,0,92.9,34.2,0,0,22,1,465
0931186J,0,85.3,27.2,0,1,21,1,581
0390883Y,97,88.0,30.6,0,0,21,1,591
0921778H,0,88.3,26.5,0,1,20,1,388
0594392D,0,85.3,29.8,0,0,20,1,277
0692343X,60,67.3,19.6,0,0,20,1,692
0931221X,77,74.5,24.0,0,0,21,1,595
0573268T,20,67.0,19.4,0,0,22,1,307
0550701N,38,80.7,31.8,0,0,23,1,283
0450069F,0,89.3,27.5,0,0,17,1,451
0771621U,0,92.7,29.5,0,1,24,1,338
0590131X,0,74.4,26.8,0,0,19,1,479
0790004A,0,84.2,22.7,0,0,15,1,167
0290149E,61,73.1,21.5,0,1,17,1,363
0931434D,0,78.9,23.4,0,0,22,1,618
0594293W,0,73.2,22.3,0,0,22,1,531
0300059B,0,72.9,22.5,0,0,19,1,503
0131604Y,0,65.1,16.4,0,1,20,1,551
0594634S,50,72.9,25.1,0,0,22,1,402
0771172F,66,72.7,20.9,0,0,20,1,523
0132412B,93,93.3,30.2,0,1,20,1,745
0950886X,49,76.3,21.7,0,0,20,1,564
0931883S,0,77.8,28.4,0,0,19,1,322
9740645H,63,73.2,26.8,0,0,38,1,1029
0160864C,63,83.6,26.6,0,0,22,1,413
0781986K,0,88.2,31.4,0,1,16,1,277
0820017Y,46,88.2,32.0,0,0,27,1,784
0890024T,0,84.5,28.5,0,1,19,1,494
0911042N,0,86.4,25.1,0,1,19,1,771
0761781Y,43,83.6,24.1,0,0,19,1,387
9730145V,43,77.5,26.1,0,1,19,1,227
0160884Z,0,83.9,27.7,0,0,28,1,317
0622262X,55,82.4,27.7,0,0,20,1,605
0691645N,0,80.6,28.1,0,0,15,1,495
0240055E,0,101.4,28.4,0,0,21,1,187
0761696F,0,88.0,27.1,0,1,22,1,453
0691730F,0,74.2,23.8,0,0,19,1,748
9730381B,48,71.9,15.7,0,0,47,1,212
0421176A,59,65.3,18.2,0,0,20,1,417
0931707A,60,89.9,29.4,0,0,21,1,686
9760368W,110,59.6,18.6,0,0,16,1,1545
0931788N,0,86.1,23.8,0,0,21,1,569
0595782P,0,74.2,23.5,0,1,17,1,328
9740035V,124,75.6,27.8,0,0,25,1,737
0930043S,0,95.5,32.3,0,1,24,1,540
0870072F,0,84.7,33.0,0,1,21,1,668
0280753S,0,93.1,30.3,0,0,22,1,588
0330163Y,47,87.9,29.1,0,0,18,1,517
0572023P,31,78.1,30.3,0,1,25,1,563
9720446C,41,82.0,21.9,0,1,21,1,206
0131261A,0,71.2,19.6,0,0,22,1,411
0870729V,0,73.8,22.9,0,0,25,1,246
9740546A,0,92.0,36.5,0,0,23,1,1092
0631522M,56,73.7,21.7,0,0,20,1,577
0830069Z,47,80.3,25.0,0,0,20,1,888
0920854D,0,94.1,28.6,0,1,24,1,621
0594297A,30,83.9,25.5,0,0,19,1,386
0694295U,0,87.5,26.9,0,0,17,1,475
0100009F,0,83.9,28.9,0,0,20,1,596
0931429Y,0,78.1,20.4,0,0,18,1,673
0590068D,0,87.1,31.6,0,0,19,1,638
0760075U,64,83.7,26.7,0,1,13,1,624
0941095E,52,79.6,22.8,0,0,19,1,555
0511108C,60,74.0,21.8,0,0,17,1,580
0330106L,0,95.0,35.8,0,0,27,1,475
0931216S,0,73.6,22.9,0,0,19,1,455
0951993A,0,68.5,21.0,0,1,26,1,638
0280024Z,0,87.5,26.5,0,0,21,1,449
0752196E,48,88.3,34.0,0,0,19,1,388
0921675W,35,86.0,33.8,0,0,24,1,520
0940786U,0,79.6,22.8,0,1,20,1,529
0100807Y,56,82.4,30.2,0,0,26,1,547
0691483M,0,81.1,25.4,0,0,20,1,502
0750429J,0,125.0,40.7,0,0,23,1,397
0931710D,0,86.3,26.5,0,0,24,1,524
0131260Z,0,70.2,18.5,0,0,22,1,391
0780180X,0,80.9,23.3,0,1,19,1,624
0601177D,58,75.0,23.5,0,0,29,1,827
0900351T,66,70.1,24.8,0,0,23,1,372
0951195H,58,92.5,34.3,0,0,21,1,729
0911402E,56,83.9,25.6,0,0,19,1,726
0851163C,0,87.7,25.7,0,0,28,1,244
0511474A,0,85.4,28.5,0,0,31,1,372
0911024U,0,83.3,26.8,0,1,21,1,573
9730237V,0,78.8,28.1,0,0,37,1,603
0670065G,0,87.0,28.7,0,1,15,1,447
0921168V,31,90.5,30.2,0,0,22,1,494
0440309X,0,76.2,19.6,0,1,18,1,316
9720021R,59,101.4,28.5,0,0,20,1,641
0681961M,0,85.0,32.5,0,0,15,1,538
0900006T,0,86.8,34.5,0,0,24,1,593
0720081X,0,79.4,28.7,0,1,22,1,369
0341364Y,0,82.7,27.7,0,0,22,1,456
9740027L,0,79.4,33.2,0,0,31,1,784
0550758A,29,82.3,28.5,0,1,22,1,196
0921394R,52,86.6,27.0,0,1,20,1,495
0594389A,56,64.6,18.7,0,0,18,1,537
0680111B,101,72.2,22.3,0,0,21,1,660
0860984C,59,92.2,32.1,0,0,22,1,650
0491703K,57,71.2,23.2,0,0,18,1,309
0595277R,85,77.3,28.6,0,1,23,1,566
0080017A,26,91.0,28.5,0,1,19,1,252
0622425Z,0,81.2,28.6,0,0,21,1,597
0911334F,63,80.3,24.4,0,0,20,1,650
9710826W,0,94.8,34.4,0,0,24,1,630
0752557X,0,117.8,41.6,0,1,21,1,330
0931204D,0,72.5,22.8,0,0,21,1,749
0622947S,53,95.8,34.7,0,1,19,1,685
0593664M,0,71.4,22.2,0,1,20,1,342
0040055N,81,87.8,30.2,0,0,18,1,618
0930894S,63,90.2,29.2,0,0,24,1,805
0622943M,56,81.6,25.4,0,1,26,1,509
0640227Z,58,96.4,40.2,0,0,23,1,845
0240037K,27,92.8,30.1,0,1,19,1,580
0911253T,0,65.1,17.7,0,1,20,1,605
0594418G,0,73.6,22.3,0,1,25,1,318
0594303G,0,79.0,23.3,0,0,23,1,460
0410793P,0,84.1,28.5,0,1,24,1,410
0680084X,98,66.7,22.7,0,1,15,1,552
0570326V,47,73.5,28.3,0,1,24,1,526
0131605Z,62,59.0,16.9,0,0,21,1,631
0600007G,0,72.5,24.1,0,0,21,1,619
0921180H,0,86.3,29.4,0,1,22,1,310
0941602F,0,91.5,30.6,0,1,24,1,367
0331880P,59,86.5,34.8,0,0,20,1,602
0597004T,0,77.9,26.6,0,1,21,1,480
0021492L,65,65.7,16.6,0,0,22,1,504
0594299C,0,67.3,18.3,0,0,14,1,400
0593178J,45,85.8,31.7,0,0,25,1,496
0572491Y,0,78.4,27.4,0,1,22,1,243
0251127P,0,82.0,32.2,0,0,16,1,631
0950749Y,0,72.8,21.1,0,0,21,1,515
0622428C,58,84.3,30.1,0,0,22,1,506
0490042E,0,81.6,23.2,0,1,28,1,220
0690249W,0,79.4,26.1,0,1,20,1,586
0941478W,0,83.6,25.3,0,0,23,1,366
0671691Z,81,74.7,23.0,0,0,17,1,623
0830180V,83,67.9,20.3,0,0,20,1,629
0580682B,0,92.8,28.2,0,0,19,1,352
9740572D,123,77.9,26.6,0,0,23,1,984
0470102F,0,76.6,25.9,0,0,20,1,291
0750507U,58,102.5,41.5,0,0,24,1,575
0622868F,42,74.4,22.2,0,0,19,1,480
0750484U,0,95.4,34.8,0,0,14,1,285
0931433C,50,76.4,20.9,0,0,22,1,763
0761737A,0,85.6,28.9,0,0,21,1,398
0780514K,0,88.0,26.3,0,0,18,1,709
0710056A,63,73.5,23.3,0,0,19,1,385
0090490J,0,94.0,28.6,0,1,21,1,228
0620198D,0,76.6,25.4,0,1,20,1,407
0881145S,46,97.3,31.6,0,0,22,1,450
9730218Z,0,73.4,22.5,0,0,32,1,720
9730337D,45,70.6,14.9,0,0,26,1,573
0421919H,62,76.9,25.0,0,0,27,1,515
0311325X,69,87.5,30.9,0,1,16,1,420
0753938Y,0,90.0,30.3,0,0,23,1,416
0751707Y,53,104.6,40.7,0,0,25,1,419
0010987T,0,86.4,33.0,0,1,20,1,638
0752198G,51,87.5,31.4,0,0,28,1,495
0941231C,0,84.8,29.5,0,1,21,1,456
0300037C,62,85.2,24.8,0,1,18,1,826
0753345D,0,96.4,27.6,0,1,23,1,395
9740812P,125,71.0,20.9,0,1,15,1,682
9741366S,0,71.4,22.3,0,0,18,1,755
9730020J,89,74.5,23.7,0,0,23,1,1010
0780255D,0,84.2,25.0,0,1,22,1,600
0622799F,43,82.9,27.7,0,1,20,1,474
0941296Y,51,87.8,27.6,0,0,17,1,599
0860876K,59,84.2,30.6,0,0,19,1,615
9710025A,0,93.9,29.3,0,1,21,1,195
0132491M,117,74.2,24.1,0,0,23,1,636
0780420H,52,92.1,29.0,0,1,21,1,598
0730901H,0,78.6,31.8,0,1,19,1,603
6200084X,0,105.4,30.3,0,0,19,1,750
0771476L,0,89.7,29.1,0,1,24,1,590
0132404T,0,65.4,21.2,0,0,20,1,486
0331619F,72,78.0,27.8,0,0,24,1,540
0421686E,63,71.7,22.1,0,0,18,1,398
0421451Z,60,76.2,20.4,0,0,19,1,341
0440013A,0,94.3,30.6,0,0,16,1,410
0881146T,50,106.9,35.2,0,0,26,1,723
6200006M,74,80.1,31.5,0,0,22,1,754
0331885V,56,87.5,30.2,0,0,19,1,701
0351851X,60,82.9,35.6,0,0,21,1,592
0340996Y,56,70.3,17.9,0,1,35,1,713
0951356H,0,81.2,25.7,0,0,20,1,689
9710406P,77,82.5,26.1,0,1,25,1,485
9730219A,29,74.7,21.6,0,1,27,1,168
0622791X,55,77.1,25.0,0,0,19,1,602
0761697G,0,87.2,27.6,0,0,22,1,415
0941679P,0,96.9,29.9,0,1,19,1,349
9741346V,64,88.8,34.7,0,0,25,1,771
0134022B,77,88.1,27.2,0,0,21,1,602
0450055R,56,85.5,31.4,0,1,21,1,568
0810787R,0,89.9,31.3,0,0,19,1,405
0622871J,57,88.0,31.2,0,1,23,1,590
0590157A,0,81.8,26.0,0,0,21,1,470
0890030Z,0,91.9,30.9,0,0,25,1,462
0941022A,53,102.4,34.2,0,0,17,1,670
0071156U,74,84.9,34.1,0,1,21,1,815
9760009F,0,64.3,16.6,0,1,18,1,1529
0600022Y,0,68.9,21.7,0,0,21,1,667
0371158H,0,88.7,29.6,0,0,18,1,292
0670066H,61,83.2,36.0,0,0,23,1,801
0623314R,0,79.3,27.0,0,1,23,1,391
0572180K,51,73.4,24.9,0,1,18,1,524
0291087Z,64,89.1,33.2,0,0,17,1,500
0360544W,0,90.9,27.6,0,0,21,1,381
0952036X,0,76.6,24.8,0,1,21,1,556
0693834T,0,83.9,32.2,0,0,22,1,540
0671822S,0,73.0,20.2,0,0,17,1,549
0280918W,94,76.0,24.1,0,0,22,1,334
0440536U,0,90.6,38.2,0,0,22,1,366
0951909J,0,101.2,31.6,0,0,23,1,528
0930897V,0,76.8,24.6,0,1,21,1,624
0932726H,0,87.1,30.4,0,0,21,1,434
0590062X,36,71.6,23.4,0,0,15,1,558
9730307W,178,78.1,22.3,0,1,33,1,1069
0340031Z,0,78.2,26.9,0,0,24,1,707
0330103H,61,87.7,26.4,0,0,26,1,830
9710938T,0,87.6,25.2,0,0,25,1,674
0132409Y,91,84.3,31.5,0,0,23,1,660
0941040V,0,82.5,23.2,0,0,18,1,454
0382104F,91,84.6,28.1,0,0,20,1,559
0211357L,0,85.1,32.6,0,1,28,1,534
0080925M,0,66.7,16.7,0,1,20,1,280
0750575T,0,92.4,36.8,0,0,22,1,388
0761698H,0,81.6,25.6,0,0,22,1,244
0801616X,63,78.9,27.3,0,0,21,1,360
0440284V,0,78.7,32.3,0,1,16,1,510
0301013N,65,72.6,23.8,0,0,19,1,467
0671825V,0,68.3,20.9,0,0,25,1,595
0500068C,48,85.5,26.5,0,0,21,1,247
0132314V,0,87.3,27.7,0,0,18,1,679
0940006W,58,88.3,25.4,0,0,25,1,639
0840033E,0,86.7,27.4,0,0,16,1,410
0131888G,0,100.8,34.3,0,1,20,1,561
0810127Y,0,88.0,29.8,0,1,21,1,319
9720848P,0,99.3,29.9,0,0,23,1,224
0771420A,58,75.3,21.2,0,1,20,1,610
0951617S,0,88.0,28.1,0,0,22,1,550
0594632P,44,88.4,34.9,0,0,21,1,583
0931196V,0,82.3,23.2,0,0,21,1,563
0572017H,27,83.4,25.4,0,0,19,1,328
0350708E,98,90.1,25.2,0,0,18,1,594
0421486M,0,88.1,30.9,0,1,22,1,413
0562028A,0,85.2,30.4,0,0,19,1,511
0911027X,50,84.1,24.8,0,0,32,1,739
0620068M,0,84.7,27.7,0,1,29,1,380
0382110M,62,91.0,29.1,0,0,22,1,785
0781618K,0,84.7,25.9,0,1,23,1,485
0100905E,62,86.0,27.8,0,0,25,1,568
0921159K,0,84.5,30.0,0,0,21,1,632
0610045T,0,90.5,24.8,0,1,27,1,201
0441608J,57,76.3,30.0,0,0,21,1,331
0596529B,0,89.6,30.9,0,0,38,1,516
0210025N,0,93.8,33.2,0,0,20,1,330
0180037T,0,75.4,25.6,0,0,24,1,505
0631762Y,0,88.1,26.9,0,1,21,1,300
0271104D,0,88.0,29.2,0,0,20,1,433
0940516A,0,113.1,38.8,0,0,38,1,846
0950711G,0,73.8,19.4,0,1,19,1,598
0421677V,0,97.1,38.8,0,0,22,1,473
0360541T,61,69.2,21.0,0,1,18,1,394
0620170Y,46,73.8,22.7,0,0,21,1,392
0770019C,94,85.1,29.0,0,1,23,1,682
9740096L,0,76.5,23.3,0,0,20,1,310
0350963G,62,90.4,35.9,0,0,25,1,680
0781101Y,0,122.3,37.1,0,0,20,1,489
0441727N,0,86.7,25.4,0,1,22,1,344
9730374U,97,82.9,29.3,0,0,29,1,929
0190635M,56,72.7,20.2,0,0,19,1,431
0760050S,0,81.2,22.0,0,1,20,1,476
0280865N,54,81.1,25.5,0,0,20,1,481
9730329V,110,65.2,16.2,0,1,23,1,1223
0950885W,0,78.9,24.1,0,0,26,1,523
0931145P,58,85.2,26.9,0,0,19,1,767
9760119A,0,77.4,22.8,0,0,18,1,913
0440023L,59,121.1,44.0,0,0,17,1,821
0690036P,40,75.4,20.6,0,0,25,1,478
0830953K,0,86.4,30.6,0,1,15,1,661
0450789N,0,86.9,32.5,0,0,21,1,388
0931200Z,51,79.1,27.4,0,0,21,1,685
0780032L,0,89.5,29.5,0,0,21,1,550
0593667R,57,62.2,17.1,0,1,18,1,600
0340972X,0,87.2,30.5,0,0,19,1,431
0801512J,67,88.3,32.6,0,0,19,1,688
0490022H,0,86.0,30.2,0,1,26,1,391
0830834F,0,82.1,29.1,0,1,21,1,561
0300141R,88,67.7,16.4,0,0,17,1,653
0601605U,0,83.6,29.0,0,1,19,1,669
0800018K,65,91.8,34.2,0,0,21,1,668
0771029A,0,77.9,25.3,0,0,20,1,688
0060799L,57,84.0,27.4,0,0,19,1,818
9740702V,120,77.4,28.7,0,0,22,1,738
0622946R,0,88.5,28.4,0,0,20,1,410
0801373H,41,96.5,36.2,0,0,19,1,690
0382044R,0,78.1,24.1,0,0,21,1,391
0950026M,75,80.5,24.4,0,1,33,1,729
0761703N,49,74.7,24.3,0,1,20,1,315
0593686L,0,69.0,25.0,0,0,20,1,302
0620180J,61,83.6,25.7,0,0,17,1,587
0470049Y,0,89.8,31.9,0,1,22,1,527
9740620F,0,75.1,27.1,0,0,20,1,859
0080910W,0,83.7,28.4,0,0,15,1,329
0951920W,0,78.0,24.9,0,1,25,1,479
0132561N,0,76.1,33.8,0,0,22,1,386
0331891B,0,89.0,29.3,0,0,19,1,577
0220008P,0,85.8,23.5,0,1,23,1,206
0530484N,62,80.1,30.0,0,0,22,1,444
0311232W,0,102.1,38.6,0,1,22,1,318
0940787V,0,81.9,26.3,0,1,23,1,356
0490921K,0,95.5,36.3,0,0,25,1,602
0623018U,55,85.9,26.5,0,1,21,1,428
0942482M,0,86.3,23.8,0,0,19,1,539
0720068H,0,90.5,36.1,0,0,20,1,326
0921631Y,0,91.0,31.0,0,0,22,1,476
9740083X,0,71.5,22.9,0,0,28,1,497
0020039G,0,86.9,29.6,0,1,23,1,293
0251397H,0,81.7,31.9,0,0,25,1,323
0620219B,54,76.8,23.9,0,0,32,1,407
0691479H,0,78.4,26.7,0,0,20,1,452
9720084J,45,85.4,26.5,0,0,25,1,270
0850014D,0,95.3,25.1,0,0,25,1,258
9720012F,29,97.9,28.8,0,0,20,1,334
9740598G,125,76.6,25.2,0,0,23,1,1031
0593185S,52,76.2,24.4,0,0,22,1,695
0450936Y,53,82.2,29.4,0,1,20,1,674
0520737U,0,88.3,32.5,0,0,19,1,360
0132212J,59,76.8,20.7,0,0,24,1,361
9740548C,0,78.6,25.8,0,1,21,1,659
9710405N,54,87.6,28.2,0,0,14,1,556
0250056A,63,79.5,28.8,0,0,25,1,765
9730248G,0,69.5,21.8,0,1,41,1,965
0132323E,23,86.3,26.2,0,0,30,1,504
0421689H,0,64.4,19.8,0,0,20,1,267
0931181D,56,92.9,35.9,0,1,24,1,598
0690076H,0,81.1,31.2,0,0,21,1,321
0831115L,0,85.4,28.3,0,1,21,1,327
0290100B,0,92.3,36.4,0,1,23,1,481
0251080N,64,65.7,20.4,0,1,15,1,620
6200041A,10,97.9,27.5,0,0,19,1,266
0080949N,0,84.2,28.1,0,0,19,1,324
0381780D,0,74.3,23.3,0,0,17,1,489
0692159X,58,71.1,21.4,0,0,25,1,613
0931151W,63,95.6,34.6,0,0,19,1,547
0260978X,60,93.5,32.1,0,1,21,1,679
9760371Z,121,77.4,22.9,0,1,19,1,1331
0671907J,60,73.2,25.4,0,1,16,1,810
9760314M,0,71.2,27.5,0,1,19,1,1461
0931381W,63,97.3,37.3,0,1,23,1,770
0762132E,0,72.0,20.3,0,0,19,1,256
0180593X,64,83.7,31.1,0,0,19,1,630
9710041T,0,86.0,26.1,0,1,19,1,213
0931211L,0,88.1,31.0,0,0,26,1,415
0691666L,48,75.7,24.6,0,0,20,1,516
0510052E,23,91.1,27.4,0,0,21,1,409
0132322D,0,90.2,28.5,0,0,19,1,491
0691793Z,0,77.5,26.3,0,0,22,1,487
0594402P,50,72.3,20.9,0,0,21,1,576
0501205N,52,80.5,26.8,0,0,21,1,342
0660017K,0,85.4,32.5,0,0,17,1,444
9760094Y,0,59.7,17.6,0,1,20,1,1290
0390924T,56,85.8,29.7,0,1,25,1,404
0020067M,64,88.8,30.0,0,0,17,1,439
0592714E,27,69.0,22.8,0,0,28,1,376
0221037H,0,89.4,27.5,0,0,22,1,198
0230507B,53,95.8,26.7,0,1,27,1,291
9740596E,26,80.5,30.7,0,1,22,1,570
0720987G,0,60.8,15.0,0,1,20,1,373
0931229F,45,82.8,23.9,0,1,14,1,638
0762080Y,44,82.7,23.4,0,0,21,1,294
0801489J,0,89.1,27.2,0,0,23,1,297
0930900Y,0,72.9,21.0,0,0,27,1,591
7200012A,0,79.7,23.1,0,1,20,1,278
0572493A,0,71.9,24.4,0,1,20,1,254
0941603G,61,92.9,29.9,0,0,22,1,560
0752195D,0,96.5,38.1,0,1,22,1,319
0541327Z,0,75.0,32.3,0,0,19,1,295
0594881K,0,90.7,39.1,0,1,24,1,381
0691669P,0,89.3,28.2,0,1,23,1,629
0594290T,32,82.9,26.8,0,0,21,1,309
0781955B,0,81.7,29.4,0,0,21,1,450
0752694W,0,91.3,30.8,0,0,23,1,387
9720019N,0,92.7,27.8,0,1,20,1,286
9760245M,0,64.5,19.9,0,1,18,1,1847
0590200X,0,82.6,25.1,0,0,19,1,407
0720989J,60,81.3,24.6,0,1,19,1,508
0211523S,0,93.0,32.6,0,1,18,1,334
0131885D,0,64.5,20.2,0,1,23,1,621
0341321B,56,79.3,25.3,0,0,31,1,660
0931206F,0,72.7,21.8,0,1,18,1,546
0762919K,0,78.2,25.5,0,0,29,1,390
